0,1
Abkhazia,1
Afghanistan,34
Albania,41
Algeria,99
Andorra,6
Angola,38
Antigua and Barbuda,4
Argentina,88
Armenia,35
Australia,112
Austria,88
Azerbaijan,54
Bahrain,26
Bangladesh,60
Barbados,10
Belarus,58
Belgium,90
Belize,9
Benin,12
Bermuda,1
Bhutan,4
Bolivia,30
Bosnia and Herzegovina,46
Botswana,13
Brazil,140
Brunei,16
Bulgaria,75
Burkina Faso,35
Burundi,16
Cambodia,18
Cameroon,21
Canada,110
Cape Verde,13
Central African Republic,7
Central Tibetan Administration,3
Chad,13
Chile,76
Colombia,63
Comoros,5
Cook Islands,2
Costa Rica,43
Croatia,60
Cuba,59
Cyprus,42
Czech Republic,90
Democratic Republic of the Congo,28
Denmark,71
Djibouti,14
Dominica,2
Dominican Republic,33
East Timor,13
Ecuador,48
Egypt,79
El Salvador,46
Equatorial Guinea,21
Eritrea,17
Estonia,44
Eswatini,7
Ethiopia,27
European Parliament,1
Federated States of Micronesia,3
Fiji,7
Finland,76
France,255
Gabon,18
Georgia,49
Germany,176
Ghana,54
Government of New Mexico,1
Government of Sweden,1
Greece,92
Grenada,5
Guatemala,30
Guinea,39
Guinea-Bissau,12
Guyana,10
Haiti,29
Honduras,24
Hungary,90
Iceland,17
India,187
Indigenous Australians,1
Indonesia,101
Iran,61
Iraq,42
Israel,82
Italy,141
Ivory Coast,48
Jamaica,17
Japan,228
Jordan,33
Kazakhstan,44
Kenya,25
Kiribati,1
Kosovo,32
Kuwait,42
Kyrgyzstan,18
Laos,15
Latvia,39
Lebanon,44
Lesotho,12
Liberia,11
Libya,47
Liechtenstein,5
Lithuania,42
Luxembourg,31
Macau,1
Madagascar,21
Malawi,11
Malaysia,42
Maldives,17
Mali,24
Malta,30
Marshall Islands,4
Mauritania,18
Mauritius,15
Mexico,87
Ministry of Foreign Affairs,1
Ministry of Foreign Affairs and Cooperation of the Republic of Rwanda,1
Ministry of Foreign Affairs of the People's Republic of China,2
Ministry of Foreign Affairs of the Russian Federation,1
Moldova,35
Monaco,11
Mongolia,26
Montenegro,29
Morocco,58
Mozambique,32
Myanmar,23
Namibia,17
Nauru,2
Nepal,33
Netherlands,309
New Zealand,59
Nicaragua,28
Niger,14
Nigeria,44
Niue,1
North Korea,26
North Macedonia,43
Norway,85
Oman,21
Pakistan,50
Palau,5
Palestine,97
Panama,62
Papua New Guinea,8
Paraguay,41
People's Republic of China,146
Peru,66
Philippines,53
Poland,124
Portugal,81
Qatar,47
Quebec,16
Republic of Ireland,68
Republic of the Congo,16
Romania,102
Russia,174
Rwanda,19
Sahrawi Arab Democratic Republic,11
Saint Kitts and Nevis,5
Saint Lucia,5
Saint Vincent and the Grenadines,4
Samoa,4
San Marino,12
Saudi Arabia,106
Saxony,1
Senegal,29
Serbia,68
Seychelles,12
Sierra Leone,11
Singapore,34
Slovakia,67
Slovenia,113
Solomon Islands,3
Somalia,12
Somaliland,1
South Africa,124
South Korea,98
South Ossetia,1
South Sudan,12
Sovereign Military Order of Malta,33
Spain,173
Sri Lanka,26
Sudan,33
Suriname,15
Sweden,107
Switzerland,109
Syria,29
São Tomé and Príncipe,3
Taiwan,112
Tajikistan,16
Tanzania,22
Thailand,47
The Bahamas,6
The Gambia,12
Togo,13
Tonga,4
Trinidad and Tobago,15
Tunisia,63
Turkey,149
Turkish Republic of Northern Cyprus,6
Turkmenistan,18
Tuvalu,4
Uganda,17
Ukraine,91
United Arab Emirates,117
United Kingdom,237
United States of America,213
Uruguay,54
Uzbekistan,21
Vanuatu,5
Vatican,191
Venezuela,45
Vietnam,48
Yemen,26
Zambia,20
Zimbabwe,19
