0,1,2
United States of America,"Washington, D.C.",5898.229484169603
Germany,Berlin,930.0330144614903
Switzerland,Bern,747.3112012299873
United Kingdom,London,0.0
Egypt,Cairo,3511.118917113974
France,Paris,343.50617201976615
Lithuania,Vilnius,1722.6898010912146
Italy,Rome,1433.8560030886772
Vatican City,Vatican City,1431.3904272090856
Belgium,City of Brussels,320.6936814766344
Uzbekistan,Tashkent,5233.504603931155
Poland,Warsaw,1448.3510366912162
Singapore,Singapore,10850.5584405811
North Macedonia,Skopje,1942.1206974569152
Slovenia,Ljubljana,1228.7431324270387
Bulgaria,Sofia,2014.3904631873515
Norway,Oslo,1153.1720280122302
Portugal,Lisbon,1586.350326053837
Russia,Moscow,2500.4350646180887
People's Republic of China,Beijing,8140.685905297592
India,New Delhi,6710.907699378463
Georgia,Tbilisi,3536.392738686948
Czech Republic,Prague,1032.8197512868246
Uruguay,Montevideo,11044.69437111594
Croatia,Zagreb,1337.5442381486464
Argentina,Buenos Aires,11126.905146388253
Mexico,Mexico City,8930.27808095772
Japan,Tokyo,9558.25488341019
Kazakhstan,Astana,4766.2830766695115
Greece,Athens,2391.4902014786485
Venezuela,Caracas,7498.519895680938
Cuba,Havana,7489.973106315424
Austria,Vienna,1235.2302201468249
Sweden,Stockholm,1432.7169040367403
Finland,Helsinki,1820.8109163762217
Republic of Ireland,Dublin,463.31162722357953
Iceland,Reykjavík,1889.444989271507
Estonia,Tallinn,1783.1843717494464
Latvia,Riga,1676.35330191579
Slovakia,Bratislava,1288.420199727486
Hungary,Budapest,1449.1656290154021
Luxembourg,Luxembourg,489.70282860705146
Liechtenstein,Vaduz,850.2966428850176
San Marino,San Marino,1259.5624616861307
Cambodia,Phnom Penh,10015.629506519852
Andorra,Andorra la Vella,1009.0141684260777
Ukraine,Kyiv,2133.251119518184
Canada,Ottawa,5360.401072653532
Armenia,Yerevan,3614.2519098343087
Belarus,Minsk,1872.126572437845
Spain,Madrid,1263.3299427232855
Colombia,Bogotá,8499.844895364233
Brazil,Brasília,8791.67971822657
Peru,Lima,10170.659822954201
Chile,Santiago,11672.174371639821
Ecuador,Quito,9225.922421371239
Paraguay,Asunción,10212.162473341094
Suriname,Paramaribo,7141.506380674065
Belize,Belmopan,8422.255944458933
Australia,Canberra,16981.471252623956
Algeria,Algiers,1657.1120789637569
Ethiopia,Addis Ababa,5896.061306291278
Indonesia,Jakarta,11713.370112277273
Turkey,Ankara,2831.6415096207925
Chad,N'Djamena,4589.492958111975
Serbia,Belgrade,1690.389993639968
Ghana,Accra,5103.9961797508195
Cyprus,Nicosia,3217.432367594421
Kenya,Nairobi,6819.3733253598675
Bahrain,Manama,5071.911853270936
South Africa,Pretoria,9024.916078862536
South Africa,Cape Town,9670.538321102082
Azerbaijan,Baku,3970.4624031404137
East Timor,Dili,13164.881197758796
