0,1
Norway,70.0
Switzerland,77.0
Australia,52.0
Ireland,69.0
Germany,61.0
Iceland,46.0
Sweden,68.0
Singapore,87.0
Netherlands,64.0
Denmark,70.0
Canada,65.0
United States,47.0
United Kingdom,63.0
Finland,76.0
New Zealand,61.0
Belgium,56.0
Liechtenstein,-1.0
Japan,54.0
Austria,69.0
Luxembourg,78.0
Israel,47.0
South Korea,26.0
France,54.0
Slovenia,72.0
Spain,40.0
Czech Republic,66.0
Italy,22.0
Malta,58.0
Estonia,58.0
Greece,23.0
Cyprus,53.0
Poland,54.0
United Arab Emirates,96.0
Andorra,-1.0
Lithuania,61.0
Qatar,91.0
Slovakia,50.0
Brunei,-1.0
Saudi Arabia,71.0
Latvia,54.0
Portugal,48.0
Bahrain,73.0
Chile,33.0
Hungary,46.0
Croatia,51.0
Argentina,42.0
Oman,-1.0
Russia,35.0
Montenegro,28.0
Bulgaria,32.0
Romania,29.0
Belarus,51.0
Bahamas,-1.0
Uruguay,58.0
Kuwait,75.0
Malaysia,62.0
Barbados,-1.0
Kazakhstan,51.0
Iran,48.0
Palau,-1.0
Seychelles,-1.0
Costa Rica,61.0
Turkey,46.0
Mauritius,76.0
Panama,51.0
Serbia,33.0
Albania,43.0
Trinidad & Tobago,24.0
Antigua & Barbuda,-1.0
Georgia,30.0
Cuba,-1.0
Mexico,43.0
Grenada,-1.0
Sri Lanka,58.0
Bosnia and Herzegovina,22.0
Venezuela,34.0
Brazil,33.0
Azerbaijan,59.0
Lebanon,15.0
North Macedonia,33.0
Armenia,39.0
Thailand,78.0
Algeria,23.0
China,68.0
Ecuador,72.0
Ukraine,17.0
Peru,47.0
Colombia,44.0
Fiji,-1.0
Mongolia,27.0
Dominican Republic,55.0
Jordan,53.0
Tunisia,20.0
Jamaica,30.0
Tonga,-1.0
Suriname,65.0
Botswana,82.0
Maldives,-1.0
Dominica,-1.0
Samoa,-1.0
Uzbekistan,89.0
Belize,62.0
Marshall Islands,-1.0
Libya,55.0
Turkmenistan,61.0
Gabon,36.0
Paraguay,39.0
Moldova,18.0
Philippines,88.0
South Africa,42.0
Egypt,31.0
Indonesia,71.0
Vietnam,53.0
Bolivia,61.0
Iraq,36.0
El Salvador,40.0
Kyrgyzstan,52.0
Morocco,51.0
Nicaragua,73.0
Cape Verde,-1.0
Guyana,-1.0
Guatemala,57.0
Tajikistan,71.0
Namibia,61.0
India,77.0
Micronesia,-1.0
Timor-Leste,-1.0
Honduras,59.0
Bhutan,99.0
Kiribati,-1.0
Bangladesh,76.0
Republic of the Congo,48.0
Vanuatu,-1.0
Laos,80.0
Ghana,51.0
Equatorial Guinea,-1.0
Kenya,56.0
São Tomé & Príncipe,-1.0
Eswatini,-1.0
Zambia,63.0
Cambodia,90.0
Angola,37.0
Myanmar,73.0
Nepal,66.0
Pakistan,49.0
Cameroon,53.0
Solomon Islands,-1.0
Papua New Guinea,-1.0
Tanzania,66.0
Syria,38.0
Zimbabwe,51.0
Nigeria,56.0
Rwanda,93.0
Lesotho,45.0
Mauritania,24.0
Madagascar,40.0
Uganda,55.0
Benin,51.0
Senegal,49.0
Comoros,39.0
Togo,55.0
Sudan,11.0
Afghanistan,39.0
Haiti,32.0
Côte d’Ivoire,44.0
Malawi,82.0
Djibouti,-1.0
Ethiopia,70.0
Gambia,62.0
Guinea,58.0
Democratic Republic of the Congo,50.0
Guinea-Bissau,-1.0
Yemen,10.0
Eritrea,-1.0
Mozambique,66.0
Liberia,48.0
Mali,48.0
Burkina Faso,44.0
Sierra Leone,44.0
Burundi,41.0
Chad,55.0
South Sudan,29.0
Central African Republic,49.0
Niger,57.0
Somalia,86.0
